Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3339158,0.9031824,-0.03185069,-12.19708,-10.88797,83.73161,1.467882,700.833
-0.3264416,0.9019192,-0.02618564,-12.19708,-10.92157,83.72962,1.466803,701.0554
-0.3299985,0.9090373,-0.02703596,-12.19708,-10.86838,83.7299,1.464817,701.096
-0.3396423,0.9088673,-0.02943229,-12.19708,-10.95462,83.73,1.465721,700.6964
-0.3456102,0.9063154,-0.02801078,-12.19708,-10.86755,83.73,1.468611,701.3854
-0.3448195,0.8962336,-0.03867765,-12.19708,-10.88757,83.73028,1.467035,700.5887
-0.3421532,0.9101999,-0.03626008,-12.19708,-10.93073,83.73028,1.468965,701.1602
-0.3375843,0.901004,-0.03161263,-12.19708,-10.892,83.73066,1.467482,700.993
-0.3324267,0.8971734,-0.03106155,-12.19708,-10.88812,83.7326,1.46746,701.0593
-0.3246429,0.8903907,-0.03289325,-12.19708,-10.82629,83.7317,1.467536,700.7947
-0.336547,0.900322,-0.03337326,-12.19708,-10.88904,83.7299,1.470421,700.5416
-0.3471009,0.8956076,-0.03528228,-12.19708,-10.87396,83.73032,1.470336,700.7455
-0.3493812,0.9116103,-0.02961583,-12.19708,-10.91721,83.72936,1.469312,700.9302
-0.3563884,0.912048,-0.02730529,-12.19708,-10.94153,83.72995,1.46987,700.9816
-0.3386588,0.9061145,-0.02056721,-12.19708,-10.9303,83.72976,1.462207,700.9665
-0.3398587,0.9131487,-0.02269334,-12.19708,-10.84198,83.73009,1.470579,701.093
-0.3498251,0.8932382,-0.01786349,-12.19708,-10.83191,83.73,1.465879,700.4346
-0.3434756,0.9102871,-0.01511471,-12.19955,-10.86084,83.73124,1.465197,700.9451
-0.3498612,0.8989552,-0.02592677,-12.19955,-10.89395,83.73183,1.466648,700.9834
-0.342049,0.9017075,-0.02680366,-12.19955,-10.92993,83.73089,1.467694,700.7687
-0.3430665,0.8891284,-0.03060447,-12.19955,-10.86127,83.73132,1.470687,700.9052
-0.3494136,0.8857046,-0.02780727,-12.19955,-10.86243,83.7308,1.468161,700.7643
-0.3585485,0.8919936,-0.02221519,-12.19955,-10.95456,83.73314,1.466143,700.8709
-0.3594782,0.8902488,-0.01601896,-12.19955,-10.93338,83.73267,1.460113,700.8596
-0.350572,0.8892049,-0.01527453,-12.19955,-10.93506,83.73137,1.46899,700.9771
-0.3532945,0.8919517,-0.01582009,-12.19955,-10.89392,83.732,1.466648,700.9684
-0.3610348,0.902292,-0.0185625,-12.19955,-10.965,83.7316,1.466201,701.0024
-0.3509348,0.8912209,-0.02050921,-12.19955,-10.93317,83.73205,1.461801,700.9684
-0.3525461,0.8986076,-0.019921,-12.19955,-10.89441,83.73018,1.463696,701.1155
-0.358703,0.8928587,-0.02336875,-12.19955,-10.86954,83.72969,1.466512,700.8004
-0.3597035,0.9004388,-0.02242197,-12.19955,-10.82217,83.73009,1.468358,700.5399
-0.3621267,0.8951491,-0.02711299,-12.19955,-10.8501,83.73109,1.471891,700.8127
-0.3490252,0.8923727,-0.02562666,-12.19955,-10.78705,83.73208,1.471115,700.7095
